marca,model,an,km,putere,cutie_de_viteze,combustibil,capacitate_cilindrica,transmisie,caroserie,culoare,optiuni_culoare,pret,id,addons
Mercedes-Benz,Mercedes-Benz_GLB,2020,31922,190,Automata,Diesel,1950,Fata,SUV,Negru,Fara,53550,2232,1
Mini,Mini_Cooper,2013,108000,122,Automata,Benzina,1598,Fata,Masina mica,Alb,Metalizata,11800,2233,25
Volkswagen,Volkswagen_T-ROC,2022,27,190,Automata,Benzina,1984,4x4 (automat),SUV,Gri,Fara,38059,2234,81
Audi,Audi_Q8,2020,46000,286,Automata,Diesel,2967,4x4 (automat),SUV,Alb,Metalizata,77900,2235,110
Honda,Honda_CR-V,2018,98000,155,Automata,Benzina,1997,4x4 (automat),SUV,Maro,Metalizata,14290,2236,60
BMW,BMW_X5,2019,56000,265,Automata,Diesel,2993,4x4 (automat),SUV,Negru,Metalizata,59990,2237,108
Audi,Audi_A7,2019,66800,286,Automata,Diesel,2967,4x4 (automat),Sedan,Negru,Metalizata,49575,2238,32
Volkswagen,Volkswagen_T-ROC,2020,67846,150,Automata,Benzina,1498,Fata,SUV,Alb,Fara,29350,2239,86
Volvo,Volvo_XC 60,2016,143000,215,Automata,Diesel,2400,4x4 (automat),SUV,Negru,Fara,20499,2240,104
Toyota,Toyota_Previa,2006,272000,115,Manuala,Diesel,1995,4x4 (manual),Monovolum,Negru,Mat,4900,2241,1
Audi,Audi_Q7,2015,292500,272,Automata,Diesel,2967,4x4 (automat),SUV,Argint,Metalizata,29750,2242,36
Ford,Ford_Ranger,2015,115461,200,Automata,Diesel,3127,4x4 (automat),SUV,Alte culori,Metalizata,27899,2243,66
Renault,Renault_Espace,2015,126753,160,Automata,Diesel,1598,Fata,Monovolum,Negru,Metalizata,22290,2244,84
Ford,Ford_Raptor,2022,1,292,Automata,Benzina,2999,4x4 (manual),SUV,Alte culori,Metalizata,70000,2245,1
Audi,Audi_A3,2018,80000,116,Automata,Diesel,1598,Fata,Sedan,Negru,Perlat,19990,2246,39
Audi,Audi_A8,2008,124000,350,Automata,Benzina,4163,4x4 (automat),Sedan,Gri,Metalizata,11800,2247,83
BMW,BMW_Seria 4,2017,157000,150,Automata,Diesel,1995,Spate,Sedan,Maro,Metalizata,19278,2248,92
Renault,Renault_Clio,2018,148000,75,Manuala,Diesel,1461,Fata,Masina de oras,Alb,Fara,7750,2249,31
Mercedes-Benz,Mercedes-Benz_A,2015,84150,90,Manuala,Diesel,1461,Fata,Compacta,Alb,Mat,12200,2250,35
Skoda,Skoda_Superb,2015,337000,140,Manuala,Diesel,1968,Fata,Combi,Negru,Metalizata,7050,2251,33
Land Rover,Land Rover_Range Rover,2011,308000,313,Automata,Diesel,4367,4x4 (automat),SUV,Verde,Metalizata,13800,2252,72
Suzuki,Suzuki_Vitara,2016,58500,140,Automata,Benzina,1373,4x4 (automat),SUV,Gri,Metalizata,16300,2253,59
Hyundai,Hyundai_I30,2018,128056,136,Automata,Diesel,1582,Fata,Sedan,Negru,Metalizata,16648,2254,62
Dacia,Dacia_Logan,2017,103491,75,Manuala,Diesel,1461,Fata,Sedan,Alb,Fara,8050,2255,11
Ford,Ford_Fiesta,2015,167213,95,Manuala,Diesel,1498,Fata,Masina de oras,Gri,Metalizata,5250,2256,47
Mercedes-Benz,Mercedes-Benz_GLE,2018,75800,258,Automata,Diesel,2987,4x4 (automat),SUV,Rosu,Fara,50999,2257,1
Renault,Renault_Kadjar,2018,94294,110,Automata,Diesel,1461,Fata,SUV,Albastru,Fara,16490,2258,13
BMW,BMW_X3,2005,170000,150,Manuala,Diesel,1995,4x4 (automat),SUV,Gri,Fara,4650,2259,39
Volkswagen,Volkswagen_Jetta,2018,139500,110,Manuala,Diesel,1968,Fata,Sedan,Negru,Metalizata,12800,2260,28
Mercedes-Benz,Mercedes-Benz_CLA,2021,7000,163,Automata,Benzina,1332,4x4 (automat),Sedan,Galben/Auriu,Metalizata,40000,2261,53
Audi,Audi_A6,2015,151000,150,Automata,Diesel,1968,Fata,Combi,Gri,Metalizata,17500,2262,33
Toyota,Toyota_Proace,2022,2,100,Manuala,Diesel,1499,Fata,Monovolum,Gri,Metalizata,25500,2263,36
Volkswagen,Volkswagen_Taigo,2022,13000,110,Manuala,Benzina,999,Fata,SUV,Albastru,Metalizata,21182,2264,41
Ford,Ford_Transit Custom,2017,261000,130,Manuala,Diesel,1996,Fata,Monovolum,Alb,Metalizata,17000,2265,30
Mazda,Mazda_CX-5,2016,173085,175,Automata,Diesel,2191,4x4 (automat),SUV,Alb,Perlat,16400,2266,66
Audi,Audi_A6,2016,227000,190,Automata,Diesel,1968,Fata,Sedan,Negru,Metalizata,15690,2267,42
Renault,Renault_Megane,2019,140540,116,Automata,Diesel,1461,Fata,Combi,Alb,Metalizata,14389,2268,37
Mercedes-Benz,Mercedes-Benz_C,2015,141832,170,Automata,Diesel,2143,Spate,Sedan,Albastru,Metalizata,20790,2269,67
Dodge,Dodge_RAM,2022,11000,401,Automata,Benzina,5654,4x4 (automat),SUV,Gri,Metalizata,64962,2270,46
BMW,BMW_Seria 5,2017,230000,190,Automata,Diesel,1995,Spate,Combi,Negru,Metalizata,21500,2271,90
Audi,Audi_A4,2009,208000,143,Manuala,Diesel,1968,Fata,Combi,Negru,Fara,6500,2272,48
Hyundai,Hyundai_Tucson,2016,149000,136,Manuala,Diesel,1995,4x4 (manual),SUV,Maro,Metalizata,18490,2273,84
Renault,Renault_Clio,2016,219000,75,Manuala,Diesel,1461,Fata,Masina de oras,Alb,Fara,5950,2274,26
Volvo,Volvo_XC 60,2018,153050,190,Automata,Diesel,1969,4x4 (automat),SUV,Bej,Metalizata,33250,2275,65
Audi,Audi_A6,2018,79500,286,Automata,Diesel,2967,4x4 (automat),Sedan,Negru,Metalizata,50900,2276,130
Lexus,Lexus_Seria RX,2020,51500,262,Automata,Hibrid,3456,4x4 (automat),SUV,Gri,Metalizata,57822,2277,69
Renault,Renault_Clio,2006,89000,98,Manuala,Benzina,1390,Fata,Masina de oras,Galben/Auriu,Metalizata,2500,2278,11
Volvo,Volvo_S40,2011,274611,115,Manuala,Diesel,1560,Fata,Sedan,Gri,Fara,6100,2279,24
BMW,BMW_X6,2017,87000,258,Automata,Diesel,2993,4x4 (automat),SUV,Alb,Metalizata,43000,2280,115
Audi,Audi_Q5,2022,11,204,Automata,Diesel,1968,4x4 (automat),SUV,Gri,Perlat,70950,2281,48
BMW,BMW_X5 M,2019,90000,400,Automata,Diesel,2993,4x4 (automat),SUV,Albastru,Fara,77000,2282,125
BMW,BMW_X5,2022,23600,394,Automata,Hibrid,2998,4x4 (automat),SUV,Albastru,Fara,88036,2283,1
Renault,Renault_Trafic,2017,267000,120,Manuala,Diesel,1598,Fata,Monovolum,Alb,Fara,10700,2284,15
Honda,Honda_Civic,2020,28200,182,Manuala,Benzina,1498,Fata,Compacta,Gri,Perlat,22500,2285,80
Audi,Audi_A6,2009,297000,239,Manuala,Diesel,2967,4x4 (automat),Sedan,Albastru,Fara,6400,2286,23
Volvo,Volvo_XC 90,2023,5,310,Automata,Hibrid,1969,4x4 (automat),SUV,Albastru,Metalizata,83818,2287,76
Dacia,Dacia_Logan,2007,194000,75,Manuala,Benzina,1390,Fata,Sedan,Rosu,Fara,1999,2288,8
Renault,Renault_Megane,2010,208931,90,Manuala,Diesel,1461,Fata,Combi,Maro,Metalizata,4990,2289,24
Volkswagen,Volkswagen_Passat,2017,82235,150,Automata,Diesel,1968,Fata,Sedan,Negru,Metalizata,20900,2290,52
Audi,Audi_A3,2015,192000,150,Automata,Diesel,1968,Fata,Masina mica,Negru,Fara,12750,2291,49
Seat,Seat_Leon,2009,268000,105,Manuala,Diesel,1896,Fata,Compacta,Argint,Metalizata,4499,2292,24
Volkswagen,Volkswagen_Phaeton,2011,230900,240,Automata,Diesel,2967,4x4 (automat),Sedan,Negru,Fara,11000,2293,60
Volkswagen,Volkswagen_Golf,2018,105560,130,Automata,Benzina,1498,Fata,Compacta,Argint,Metalizata,18599,2294,49
Skoda,Skoda_Kodiaq,2018,98500,150,Automata,Diesel,1968,4x4 (automat),SUV,Gri,Metalizata,25800,2295,80
Volvo,Volvo_XC 60,2012,223000,240,Automata,Diesel,2400,4x4 (automat),SUV,Gri,Perlat,13950,2296,81
Land Rover,Land Rover_Discovery,2005,350000,190,Automata,Diesel,2720,4x4 (automat),SUV,Gri,Fara,6300,2297,58
Nissan,Nissan_Juke,2016,53700,115,Manuala,Benzina,1197,Fata,SUV,Rosu,Fara,11200,2298,32
BMW,BMW_Seria 3,2020,55900,184,Automata,Benzina,1998,4x4 (automat),Sedan,Gri,Metalizata,39980,2299,17
Volkswagen,Volkswagen_Passat,2012,224000,140,Manuala,Diesel,1968,Fata,Combi,Argint,Fara,6490,2300,48
Lancia,Lancia_Ypsilon,2006,90625,80,Manuala,Benzina,1242,Fata,Masina mica,Bej,Fara,2490,2301,14
Peugeot,Peugeot_208,2022,2,100,Automata,Benzina,1199,Fata,Masina de oras,Rosu,Perlat,24216,2302,55
Audi,Audi_A4,2013,233700,143,Automata,Diesel,1968,Fata,Combi,Negru,Metalizata,10700,2303,54
Audi,Audi_Q5,2022,200,265,Automata,Benzina,1984,4x4 (automat),SUV,Gri,Fara,65769,2304,47
Volkswagen,Volkswagen_Passat Alltrack,2020,76680,190,Automata,Diesel,1968,4x4 (automat),Combi,Alb,Fara,33818,2305,53
BMW,BMW_Seria 5,2017,76000,190,Automata,Diesel,1995,Spate,Sedan,Gri,Metalizata,28800,2306,87
BMW,BMW_X5 M,2019,124000,400,Automata,Diesel,2993,4x4 (automat),SUV,Alb,Fara,87500,2307,96
Fiat,Fiat_500X,2018,82400,95,Manuala,Diesel,1248,Fata,SUV,Maro,Metalizata,11200,2308,38
Mercedes-Benz,Mercedes-Benz_Vito,2018,264175,163,Automata,Diesel,2143,4x4 (automat),Monovolum,Gri,Metalizata,29690,2309,80
Audi,Audi_A4,2017,241000,150,Automata,Diesel,1968,Fata,Combi,Negru,Metalizata,16100,2310,68
Dacia,Dacia_Duster,2019,45500,115,Manuala,Diesel,1461,4x4 (automat),SUV,Maro,Fara,17700,2311,37
Seat,Seat_Leon,2014,167000,105,Manuala,Benzina,1197,Fata,Compacta,Alb,Metalizata,6090,2312,41
Lexus,Lexus_Seria NX,2022,3036,190,Automata,Hibrid,2494,4x4 (automat),SUV,Rosu,Metalizata,64490,2313,72
Land Rover,Land Rover_Defender,2022,1,249,Automata,Diesel,2996,4x4 (automat),SUV,Maro,Metalizata,84240,2314,84
Skoda,Skoda_Kamiq,2020,11500,150,Automata,Benzina,1498,Fata,SUV,Negru,Metalizata,22000,2315,80
Nissan,Nissan_Juke,2011,148700,110,Manuala,Diesel,1461,Fata,SUV,Gri,Metalizata,6900,2316,28
Skoda,Skoda_Octavia,2015,241000,184,Manuala,Diesel,1968,Fata,Sedan,Gri,Metalizata,12950,2317,63
Volkswagen,Volkswagen_Golf,2015,226000,110,Manuala,Diesel,1598,Fata,Combi,Gri,Metalizata,8900,2318,49
Renault,Renault_Kadjar,2018,153000,110,Automata,Diesel,1461,Fata,SUV,Negru,Metalizata,14990,2319,22
Mercedes-Benz,Mercedes-Benz_GLE Coupe,2017,96950,258,Automata,Diesel,2987,4x4 (automat),SUV,Gri,Fara,61989,2320,1
Land Rover,Land Rover_Range Rover,2019,102000,275,Automata,Diesel,2993,4x4 (automat),SUV,Albastru,Metalizata,69900,2321,44
BMW,BMW_Seria 4,2022,13008,258,Automata,Benzina,1998,Spate,Sedan,Gri,Fara,52336,2322,3
Volkswagen,Volkswagen_Passat,2005,220000,105,Manuala,Diesel,1896,Fata,Combi,Gri,Fara,2500,2323,15
Ford,Ford_Mondeo,2013,93779,140,Manuala,Diesel,1997,Fata,Sedan,Gri,Metalizata,8900,2324,22
Dodge,Dodge_RAM,2020,10,260,Automata,Diesel,3000,4x4 (automat),SUV,Negru,Metalizata,99127,2325,1
Skoda,Skoda_Kodiaq,2019,54000,190,Automata,Diesel,1968,4x4 (automat),SUV,Albastru,Metalizata,37990,2326,96
Ford,Ford_Focus,2022,1,155,Automata,Benzina,999,Fata,Combi,Negru,Metalizata,25485,2327,49
Volkswagen,Volkswagen_Polo,2018,75000,95,Manuala,Benzina,999,Fata,Masina de oras,Alte culori,Fara,10700,2328,50
BMW,BMW_X3,2021,26704,190,Automata,Diesel,1995,4x4 (automat),SUV,Albastru,Metalizata,52900,2329,102
Peugeot,Peugeot_3008,2017,132000,180,Automata,Diesel,1997,Fata,SUV,Negru,Metalizata,22900,2330,97
Toyota,Toyota_Yaris,2017,63300,73,Automata,Hibrid,1497,Fata,Masina de oras,Albastru,Metalizata,15990,2331,1
Opel,Opel_Altul,2020,36614,131,Manuala,Benzina,1199,Fata,Monovolum,Alte culori,Fara,15200,2332,29
Mercedes-Benz,Mercedes-Benz_GLA,2016,67000,170,Automata,Diesel,2143,4x4 (automat),SUV,Gri,Metalizata,23000,2333,61
BMW,BMW_Seria 3,2020,72710,184,Automata,Benzina,1998,4x4 (automat),Sedan,Alb,Metalizata,36930,2334,1
Renault,Renault_Megane,2016,190000,110,Manuala,Diesel,1461,Fata,Combi,Gri,Metalizata,7989,2335,77
Dacia,Dacia_Logan,2018,78027,90,Manuala,Benzina,898,Fata,Sedan,Alb,Fara,9900,2336,15
BMW,BMW_X5,2019,70474,333,Automata,Benzina,2998,4x4 (automat),SUV,Albastru,Fara,66616,2337,2
Land Rover,Land Rover_Range Rover Sport,2016,191061,258,Automata,Diesel,2993,4x4 (automat),SUV,Albastru,Metalizata,30000,2338,108
Ford,Ford_Focus,2012,218000,115,Manuala,Diesel,1560,Fata,Combi,Negru,Metalizata,5490,2339,43
Audi,Audi_A8,2018,83000,286,Automata,Diesel,2967,4x4 (manual),Sedan,Gri,Metalizata,64260,2340,136
BMW,BMW_Seria 6,2019,200000,319,Automata,Diesel,2993,4x4 (automat),Sedan,Negru,Metalizata,42500,2341,52
BMW,BMW_X4,2022,14500,190,Automata,Diesel,1995,4x4 (automat),SUV,Albastru,Metalizata,59990,2342,119
BMW,BMW_X6 M,2020,115000,400,Automata,Diesel,2993,4x4 (automat),SUV,Albastru,Metalizata,82100,2343,122
Subaru,Subaru_Forester,2015,112000,147,Automata,Diesel,1998,4x4 (automat),Combi,Gri,Fara,13900,2344,39
Dacia,Dacia_Logan,2007,87000,90,Manuala,Benzina,1598,Fata,Sedan,Rosu,Fara,2499,2345,1
Volkswagen,Volkswagen_Tiguan,2019,71000,190,Automata,Diesel,1968,4x4 (automat),SUV,Gri,Metalizata,34849,2346,116
Dacia,Dacia_Sandero,2015,45600,90,Manuala,Benzina,898,Fata,Compacta,Albastru,Metalizata,6100,2347,30
BMW,BMW_Seria 4,2021,11108,374,Automata,Benzina,2998,4x4 (automat),Coupe,Albastru,Metalizata,60899,2348,60
Mercedes-Benz,Mercedes-Benz_GLB,2022,4000,163,Automata,Benzina,1332,4x4 (automat),SUV,Albastru,Fara,53120,2349,1
Kia,Kia_Sorento,2021,13800,266,Automata,Hibrid,1598,4x4 (automat),SUV,Alb,Metalizata,59998,2350,17
Volkswagen,Volkswagen_Passat,2012,232800,105,Manuala,Diesel,1598,Fata,Sedan,Gri,Metalizata,9199,2351,29
Toyota,Toyota_Auris,2015,212000,99,Automata,Hibrid,1798,Fata,Combi,Maro,Metalizata,11900,2352,49
Renault,Renault_Scenic,2012,214250,130,Manuala,Diesel,1598,Fata,Monovolum,Alb,Perlat,6450,2353,47
BMW,BMW_Seria 7,2013,152000,313,Automata,Diesel,2993,4x4 (automat),Sedan,Argint,Metalizata,24871,2354,117
Volkswagen,Volkswagen_Golf,2004,258142,105,Manuala,Diesel,1896,Fata,Compacta,Argint,Fara,2250,2355,21
Audi,Audi_A4,2017,79000,150,Automata,Diesel,1968,Fata,Sedan,Gri,Metalizata,21900,2356,1
Skoda,Skoda_Citigo,2015,98500,60,Manuala,Benzina,999,Fata,Masina mica,Alb,Mat,6499,2357,12
Citroën,Citroën_C4 Aircross,2012,179000,150,Manuala,Diesel,1800,4x4 (manual),SUV,Maro,Perlat,8450,2358,58
Skoda,Skoda_Fabia,2010,180000,86,Manuala,Benzina,1390,Fata,Combi,Gri,Metalizata,3699,2359,19
Skoda,Skoda_Octavia,2018,184434,116,Automata,Diesel,1598,Fata,Combi,Gri,Metalizata,14290,2360,58
Audi,Audi_A4 Allroad,2016,149500,190,Automata,Diesel,1968,4x4 (automat),Combi,Gri,Metalizata,24500,2361,31
Ford,Ford_Galaxy,2013,144000,140,Automata,Diesel,1998,Fata,Monovolum,Alte culori,Metalizata,7990,2362,42
Volkswagen,Volkswagen_Tiguan,2019,170000,190,Automata,Diesel,1968,4x4 (automat),SUV,Gri,Perlat,23700,2363,90
Renault,Renault_Laguna,2007,271467,149,Manuala,Diesel,1995,Fata,Sedan,Gri,Metalizata,4299,2364,47
Volkswagen,Volkswagen_Touareg,2015,249000,204,Automata,Diesel,2967,4x4 (automat),SUV,Alb,Metalizata,20800,2365,75
Audi,Audi_A4,2012,225000,143,Manuala,Diesel,1968,Fata,Combi,Albastru,Metalizata,8300,2366,43
Peugeot,Peugeot_308,2015,267900,120,Automata,Diesel,1560,Fata,Combi,Gri,Metalizata,6990,2367,1
Volkswagen,Volkswagen_ARTEON,2018,218000,150,Automata,Diesel,1968,Fata,Sedan,Gri,Metalizata,22850,2368,87
Ford,Ford_Fiesta,2019,76037,101,Automata,Benzina,998,Fata,Masina de oras,Gri,Metalizata,12990,2369,29
Skoda,Skoda_Octavia,2020,102200,149,Automata,Diesel,1968,Fata,Combi,Negru,Metalizata,27300,2370,46
Skoda,Skoda_Octavia,2018,179000,116,Automata,Diesel,1598,Fata,Combi,Albastru,Metalizata,13000,2371,33
Jeep,Jeep_Renegade,2022,1,120,Manuala,Benzina,999,Fata,SUV,Alb,Fara,19900,2372,39
Land Rover,Land Rover_Range Rover Sport,2015,104000,258,Automata,Diesel,2993,4x4 (automat),SUV,Maro,Fara,32000,2373,48
Lexus,Lexus_Seria NX,2022,50,190,Automata,Hibrid,2494,4x4 (automat),SUV,Bej,Metalizata,79989,2374,1
Opel,Opel_Antara,2012,224400,164,Manuala,Diesel,2231,4x4 (manual),SUV,Negru,Metalizata,7650,2375,18
Renault,Renault_Laguna,2011,213647,110,Manuala,Diesel,1461,Fata,Sedan,Gri,Metalizata,5390,2376,42
Renault,Renault_Grand Scenic,2017,120000,110,Automata,Diesel,1461,Fata,Monovolum,Negru,Fara,17000,2377,1
Mazda,Mazda_5,2007,322836,143,Manuala,Diesel,1998,Fata,Compacta,Gri,Metalizata,3500,2378,28
Dacia,Dacia_Logan,2018,74519,75,Manuala,Diesel,1461,Fata,Sedan,Alb,Fara,10200,2379,29
Opel,Opel_Insignia,2010,120000,220,Manuala,Benzina,1998,4x4 (manual),Sedan,Alb,Fara,6250,2380,36
Skoda,Skoda_Superb,2018,102072,150,Automata,Diesel,1968,Fata,Sedan,Negru,Fara,21000,2381,36
Mercedes-Benz,Mercedes-Benz_V,2019,197334,239,Automata,Diesel,1950,4x4 (automat),Monovolum,Negru,Metalizata,53849,2382,47
Skoda,Skoda_Octavia,2014,203000,90,Manuala,Diesel,1598,Fata,Combi,Negru,Fara,8199,2383,1
Audi,Audi_A4,2011,210000,143,Manuala,Diesel,1968,Fata,Sedan,Gri,Metalizata,8300,2384,39
Honda,Honda_CR-V,2019,79021,193,Automata,Benzina,1498,4x4 (automat),SUV,Rosu,Metalizata,29900,2385,50
Jaguar,Jaguar_E-Pace,2019,105250,180,Automata,Diesel,1999,4x4 (automat),SUV,Rosu,Metalizata,34450,2386,32
Ford,Ford_Mondeo,2019,160000,150,Automata,Diesel,1997,Fata,Combi,Alb,Perlat,12990,2387,71
Audi,Audi_Q7,2012,420000,245,Automata,Diesel,2967,4x4 (automat),SUV,Gri,Fara,13700,2388,36
Mercedes-Benz,Mercedes-Benz_A,2006,208000,140,Manuala,Diesel,1991,Fata,Compacta,Negru,Fara,1999,2389,1
Audi,Audi_A6,2014,310000,245,Automata,Diesel,2967,4x4 (automat),Combi,Gri,Fara,11900,2390,49
Land Rover,Land Rover_Discovery Sport,2017,159000,150,Automata,Diesel,1999,4x4 (automat),SUV,Alb,Metalizata,24038,2391,70
Audi,Audi_A5,2018,180000,190,Manuala,Diesel,1968,Fata,Sedan,Negru,Fara,26250,2392,77
Volkswagen,Volkswagen_Passat,2018,169600,150,Automata,Diesel,1968,Fata,Combi,Negru,Perlat,19800,2393,40
Ford,Ford_Focus,2017,173089,120,Automata,Diesel,1498,Fata,Compacta,Alb,Metalizata,10289,2394,1
Volkswagen,Volkswagen_Tiguan,2017,198500,190,Automata,Diesel,1968,4x4 (automat),SUV,Alb,Perlat,23550,2395,95
Skoda,Skoda_Fabia,2018,140039,90,Manuala,Diesel,1422,Fata,Combi,Gri,Fara,10900,2396,12
Volkswagen,Volkswagen_Touareg,2012,197000,245,Automata,Diesel,2967,4x4 (automat),SUV,Negru,Fara,15900,2397,74
Land Rover,Land Rover_Discovery,2011,188000,245,Automata,Diesel,2993,4x4 (automat),SUV,Maro,Metalizata,21990,2398,81
Mercedes-Benz,Mercedes-Benz_S,2018,90000,455,Automata,Benzina,4663,4x4 (automat),Coupe,Verde,Metalizata,76500,2399,120
Volkswagen,Volkswagen_Passat CC,2015,83000,140,Manuala,Diesel,1968,4x4 (automat),Sedan,Negru,Fara,15250,2400,48
BMW,BMW_X6 M,2015,161000,381,Automata,Diesel,2993,4x4 (automat),SUV,Alb,Metalizata,34000,2401,91
Ford,Ford_Mondeo,2018,38643,160,Manuala,Benzina,1499,Fata,Sedan,Albastru,Fara,15100,2402,39
Kia,Kia_Niro,2019,57100,105,Automata,Hibrid,1580,Fata,SUV,Alb,Perlat,22990,2403,58
Ford,Ford_Kuga,2018,124000,150,Automata,Diesel,1997,4x4 (automat),SUV,Gri,Metalizata,17255,2404,56
Volkswagen,Volkswagen_Scirocco,2010,255000,184,Manuala,Diesel,1968,Fata,Compacta,Verde,Metalizata,8950,2405,16
Infiniti,Infiniti_Q30,2017,66000,109,Manuala,Diesel,1461,Fata,SUV,Alb,Perlat,15499,2406,67
Jeep,Jeep_Renegade,2021,1,240,Automata,Hibrid,1332,4x4 (automat),SUV,Negru,Metalizata,33100,2407,81
Skoda,Skoda_Fabia,2015,199000,90,Manuala,Diesel,1422,Fata,Masina de oras,Bej,Fara,6800,2408,31
Mercedes-Benz,Mercedes-Benz_A,2020,20814,116,Automata,Diesel,1461,Fata,Compacta,Negru,Fara,33900,2409,39
Volkswagen,Volkswagen_Golf,2017,67243,125,Automata,Benzina,1395,Fata,Compacta,Negru,Metalizata,13690,2410,82
BMW,BMW_Seria 5,2008,285000,177,Manuala,Diesel,1995,Spate,Sedan,Negru,Fara,6250,2411,39
Renault,Renault_Talisman,2016,138227,160,Automata,Diesel,1598,Fata,Sedan,Negru,Metalizata,16800,2412,74
Dacia,Dacia_Sandero Stepway,2019,54058,90,Manuala,Benzina,898,Fata,Compacta,Maro,Metalizata,10860,2413,27
BMW,BMW_X6,2009,220000,285,Automata,Diesel,2993,4x4 (automat),SUV,Argint,Fara,13850,2414,37
Volvo,Volvo_XC 60,2020,146000,190,Automata,Diesel,1969,4x4 (automat),SUV,Alte culori,Fara,32999,2415,119
Volkswagen,Volkswagen_T-Cross,2020,12578,95,Manuala,Benzina,999,Fata,SUV,Rosu,Fara,18300,2416,45
Audi,Audi_A5,2018,84500,190,Manuala,Benzina,1984,Fata,Sedan,Verde,Metalizata,22900,2417,45
Toyota,Toyota_Auris,2016,107700,99,Automata,Hibrid,1798,Fata,Combi,Negru,Metalizata,16481,2418,58
Kia,Kia_Sorento,2017,109000,200,Automata,Diesel,2199,4x4 (automat),SUV,Negru,Metalizata,30583,2419,100
Volvo,Volvo_V60,2014,148329,115,Manuala,Diesel,1560,Fata,Combi,Gri,Metalizata,8990,2420,30
Mercedes-Benz,Mercedes-Benz_E,2020,12600,198,Automata,Benzina,1991,Spate,Sedan,Rosu,Metalizata,55928,2421,77
Ford,Ford_Puma,2022,1,125,Manuala,Benzina,999,Fata,SUV,Albastru,Metalizata,18900,2422,67
Volkswagen,Volkswagen_Passat,2016,260000,150,Automata,Diesel,1968,Fata,Sedan,Gri,Metalizata,12250,2423,1
Volkswagen,Volkswagen_Touran,2005,278000,150,Manuala,Benzina,1984,Fata,Monovolum,Negru,Metalizata,3499,2424,20
Opel,Opel_Astra,2017,198405,110,Manuala,Diesel,1598,Fata,Combi,Maro,Metalizata,7961,2425,76
Volkswagen,Volkswagen_Passat,2018,77632,190,Automata,Diesel,1968,4x4 (automat),Combi,Gri,Fara,21900,2426,37
Opel,Opel_Insignia,2009,187546,160,Automata,Diesel,1956,Fata,Sedan,Negru,Fara,6325,2427,32
Porsche,Porsche_Cayenne,2011,250000,240,Automata,Diesel,2967,4x4 (automat),SUV,Negru,Metalizata,20500,2428,82
Toyota,Toyota_C-HR,2019,118459,98,Automata,Hibrid,1798,Fata,SUV,Negru,Fara,20990,2429,14
Volkswagen,Volkswagen_Golf,2018,85707,115,Manuala,Diesel,1598,Fata,Combi,Alb,Fara,15300,2430,58
Hyundai,Hyundai_Santa Fe,2019,35800,200,Automata,Diesel,2199,4x4 (automat),SUV,Negru,Metalizata,41799,2431,20
Audi,Audi_Q7,2018,56000,272,Automata,Diesel,2967,4x4 (automat),SUV,Negru,Fara,51900,2432,47
Mercedes-Benz,Mercedes-Benz_A,2014,68000,136,Automata,Diesel,2143,Fata,Compacta,Alb,Fara,15500,2433,67
Kia,Kia_Sportage,2021,5,150,Manuala,Benzina,1598,Fata,SUV,Alte culori,Metalizata,23827,2434,71
Volvo,Volvo_XC 60,2018,106000,320,Automata,Benzina,1969,4x4 (automat),SUV,Albastru,Metalizata,35800,2435,103
Volkswagen,Volkswagen_ARTEON,2020,54243,272,Automata,Benzina,1984,4x4 (automat),Sedan,Alte culori,Fara,32900,2436,41
Mercedes-Benz,Mercedes-Benz_C,2015,206800,136,Automata,Diesel,1598,Spate,Sedan,Argint,Perlat,15490,2437,22
Mercedes-Benz,Mercedes-Benz_GLB,2022,6000,224,Automata,Benzina,1991,4x4 (automat),SUV,Alb,Fara,61212,2438,73
Land Rover,Land Rover_Discovery Sport,2017,165490,180,Manuala,Diesel,1999,4x4 (automat),SUV,Gri,Perlat,27500,2439,27
Mazda,Mazda_3,2012,189000,105,Manuala,Benzina,1598,Fata,Compacta,Gri,Metalizata,6990,2440,44
Volkswagen,Volkswagen_Golf,2009,286000,122,Manuala,Benzina,1395,Fata,Compacta,Negru,Metalizata,4690,2441,38
Ford,Ford_Transit,2019,95469,130,Manuala,Diesel,1995,Fata,Monovolum,Alb,Fara,26000,2442,18
Volvo,Volvo_S60,2015,185800,190,Automata,Diesel,1969,Fata,Sedan,Gri,Metalizata,15600,2443,40
Opel,Opel_Astra,2019,90000,140,Manuala,Benzina,1364,Fata,Sedan,Gri,Metalizata,12495,2444,45
Audi,Audi_A4,2018,162467,190,Automata,Diesel,1968,4x4 (automat),Combi,Negru,Fara,19500,2445,35
Volkswagen,Volkswagen_Golf,2013,259000,105,Automata,Diesel,1598,4x4 (automat),Compacta,Albastru,Metalizata,9800,2446,28
Dacia,Dacia_Logan,2018,38720,75,Manuala,Diesel,1461,Fata,Combi,Alb,Fara,6500,2447,22
Land Rover,Land Rover_Discovery,2011,264835,245,Automata,Diesel,2993,4x4 (manual),SUV,Maro,Metalizata,12364,2448,76
Volkswagen,Volkswagen_Tiguan,2019,70721,150,Manuala,Diesel,1968,4x4 (automat),SUV,Alb,Fara,22490,2449,45
Renault,Renault_Megane,2008,260000,150,Manuala,Diesel,1995,Fata,Sedan,Alb,Fara,2799,2450,10
